F/MHz,dB (252a),deg (252a)
94.148297,-18.8200201,126.0136724
94.348697,-18.80763262,124.1271498
94.549098,-18.91188636,122.0437936
94.749499,-18.84854671,120.0220352
94.9499,-18.91491969,118.9344265
95.150301,-18.92521506,117.2261309
95.350701,-19.05551071,115.8834446
95.551102,-19.12372774,114.8995942
95.751503,-19.00805177,112.6248707
95.951904,-18.9962864,111.7753557
96.152305,-19.12338283,110.2733511
96.352705,-19.09355541,108.8371225
96.553106,-19.21146393,107.2367937
96.753507,-19.20574117,105.9691309
96.953908,-19.26147039,104.4255174
97.154309,-19.40602116,102.4152603
97.354709,-19.38931203,102.2135551
97.55511,-19.3405751,100.8041063
97.755511,-19.32483336,99.09032041
97.955912,-19.44681879,97.85529083
98.156313,-19.48935,96.97112008
98.356713,-19.5392972,95.4994196
98.557114,-19.61701772,93.1724835
98.757515,-19.58393306,92.83825604
98.957916,-19.64682678,91.2469073
99.158317,-19.68359411,90.15253368
99.358717,-19.58280968,89.06563064
99.559118,-19.77458883,87.17818227
99.759519,-19.74557747,86.04230942
99.95992,-19.65752444,84.72626719
100.160321,-19.8110698,84.12069489
100.360721,-19.82730033,82.75334625
100.561122,-19.87697136,81.44777282
100.761523,-19.95571155,79.94748407
100.961924,-19.80786842,79.26711711
101.162325,-20.06369304,79.09903406
101.362725,-20.13031203,75.74761437
101.563126,-20.14962167,75.87674656
101.763527,-19.96524855,74.87385871
101.963928,-20.04577578,73.23707094
102.164329,-20.18960246,72.34051366
102.364729,-20.35584172,71.1507158
102.56513,-20.2454239,70.4583938
102.765531,-20.07563045,69.78908639
102.965932,-20.31964126,67.87747623
103.166333,-20.25581908,66.83796763
103.366733,-20.16928342,65.10784682
103.567134,-20.38827381,65.48457705
103.767535,-20.51483212,64.07531938
103.967936,-20.2613244,62.09383176
104.168337,-20.44474154,61.65702369
104.368737,-20.50176757,59.40314864
104.569138,-20.60715406,60.13010096
104.769539,-20.52581715,58.30417518
104.96994,-20.58526398,57.69541439
105.170341,-20.61604606,56.17220731
105.370741,-20.63739125,55.21009298
105.571142,-20.65705522,55.0269334
105.771543,-20.62306194,51.91068783
105.971944,-20.76564732,52.29416819
106.172345,-20.49212983,50.87471446
106.372745,-20.74947557,49.65737567
106.573146,-20.6741952,48.32377406
106.773547,-20.56464309,48.06724175
106.973948,-20.69905019,45.59412002
107.174349,-20.84273615,45.40732245
107.374749,-20.86514856,45.94136999
107.57515,-20.83860654,45.66698099
107.775551,-20.80367537,43.11880909
107.975952,-20.85624251,42.58742697
108.176353,-21.00629351,41.85214176
108.376754,-20.94636606,40.41574381
108.577154,-21.03629919,38.46846047
108.777555,-20.89925415,37.61879579
108.977956,-20.8813646,37.89967424
109.178357,-21.07486696,37.26166525
109.378758,-21.06805734,34.85742395
109.579158,-20.96242724,34.71811076
109.779559,-21.06946801,34.41943869
109.97996,-20.93077937,32.84357574
110.180361,-21.05798817,30.83786767
110.380762,-21.26694318,32.54738987
110.581162,-21.20133314,29.62568221
110.781563,-21.27824071,28.50081571
110.981964,-21.07551639,28.63816393
111.182365,-21.34779063,27.93255305
111.382766,-21.20552114,27.26028298
111.583166,-21.49703935,26.6496289
111.783567,-21.12647552,24.21990773
111.983968,-21.20343349,23.54786177
112.184369,-21.09633948,21.84702051
112.38477,-21.19095549,22.56652657
112.58517,-21.24688477,21.47066371
112.785571,-21.39591554,20.13322285
112.985972,-21.22194279,18.2643496
113.186373,-21.35585659,18.50092281
113.386774,-21.16392658,17.76088354
113.587174,-21.52723407,17.82637452
113.787575,-21.20152533,16.78449766
113.987976,-21.33200034,15.367306
114.188377,-21.44002122,14.69953425
114.388778,-21.38483738,12.58858637
114.589178,-21.29318577,13.33660075
114.789579,-21.28268389,11.42753047
114.98998,-21.52314967,10.96170733
115.190381,-21.48779837,9.867179518
115.390782,-21.5536552,9.639831459
115.591182,-21.32330945,8.699482123
115.791583,-21.53544282,8.024427254
115.991984,-21.48050726,6.984389586
116.192385,-21.2501682,6.042514835
116.392786,-21.48694962,4.595264116
116.593186,-21.60135105,4.985409864
116.793587,-21.59658574,3.855040954
116.993988,-21.59298459,4.207497334
117.194389,-21.64323228,1.472794939
117.39479,-21.61799226,0.857129701
117.59519,-21.70253576,1.286746502
117.795591,-21.46836778,0.039662072
117.995992,-21.61581874,-0.364059645
118.196393,-21.41814495,-0.995442946
118.396794,-21.72109152,-1.242586582
118.597194,-21.49487913,-3.479930279
118.797595,-21.49969414,-4.185007857
118.997996,-21.7395139,-4.418689355
119.198397,-21.5338447,-4.813466407
119.398798,-21.55263906,-5.90152469
119.599198,-21.65252518,-5.981460085
119.799599,-21.69201809,-8.226247368
120,-21.65003875,-8.779912739
