F/MHz,dB (254a),deg (254a)
49.859719,-34.93352826,-66.51000685
50.06012,-36.01113496,-59.76793798
50.260521,-36.03149936,-62.55490454
50.460922,-36.89074314,-62.46981389
50.661323,-36.1866204,-59.49245097
50.861723,-37.48640326,-62.97601789
51.062124,-36.97587221,-62.83153351
51.262525,-37.5052194,-67.48629257
51.462926,-37.78938455,-62.92412854
51.663327,-38.01648515,-61.29079005
51.863727,-38.15325889,-54.33892447
52.064128,-38.62695751,-53.91155124
52.264529,-39.73216162,-55.34811001
52.46493,-38.86246426,-54.82845247
52.665331,-38.74653178,-46.11136178
52.865731,-39.86705855,-46.38529773
53.066132,-40.11079736,-45.21915272
53.266533,-40.15705551,-43.37722085
53.466934,-40.98713038,-47.74397566
53.667335,-39.61942606,-41.14383085
53.867735,-40.17033983,-39.79984224
54.068136,-39.84642779,-32.42701809
54.268537,-40.0472421,-24.78651776
54.468938,-40.77900374,-27.64915423
54.669339,-40.26981991,-22.37039153
54.869739,-40.58629119,-18.85632117
55.07014,-39.55154262,-14.59297915
55.270541,-39.88184244,-8.450030076
55.470942,-40.17432691,-9.094913507
55.671343,-39.17692675,-6.046419967
55.871743,-39.81485547,-9.764599922
56.072144,-38.86966525,-3.975492479
56.272545,-38.60050733,-9.364216723
56.472946,-37.71264434,-5.235916222
56.673347,-37.9998471,-1.725754264
56.873747,-37.76420759,-3.723868885
57.074148,-37.30441016,2.090473072
57.274549,-36.99490914,2.702186805
57.47495,-37.32038709,5.358577338
57.675351,-36.26395971,-2.021879759
57.875752,-36.86083342,-2.24157889
58.076152,-35.54936816,-0.11455433
58.276553,-35.17484738,0.559409777
58.476954,-35.13434518,0.617373741
58.677355,-35.00347638,4.537830098
58.877756,-35.03354153,0.897250786
59.078156,-34.90165677,0.715656049
59.278557,-34.34597558,3.914264486
59.478958,-34.57286547,-0.451245665
59.679359,-34.1038759,-0.931012908
59.87976,-33.3966789,-1.004346661
60.08016,-33.32712855,-1.813857787
60.280561,-33.16950873,-3.066120125
60.480962,-33.66453044,-2.006592569
60.681363,-32.86865699,-1.062262601
60.881764,-32.95308479,-2.775991876
61.082164,-33.28681031,-5.630519034
61.282565,-32.43803069,-5.873950478
61.482966,-32.40641333,-4.865612151
61.683367,-31.91454317,-5.281460382
61.883768,-32.14875194,-9.964677014
62.084168,-31.86186338,-8.011276406
62.284569,-31.80574183,-8.930658376
62.48497,-31.75646728,-9.662442776
62.685371,-31.92201376,-9.107235031
62.885772,-31.83957975,-11.48171104
63.086172,-31.2110112,-13.83827197
63.286573,-31.17384971,-12.08861086
63.486974,-31.46712199,-14.7686889
63.687375,-30.89291122,-13.55821959
63.887776,-31.13771305,-17.04206122
64.088176,-30.60607138,-14.10391235
64.288577,-30.97398152,-14.84205967
64.488978,-30.8870946,-16.51113687
64.689379,-30.71935994,-18.18245887
64.88978,-31.08383085,-20.08326537
65.09018,-30.38925682,-20.48485331
65.290581,-31.01050497,-23.41153279
65.490982,-30.52438802,-24.65297727
65.691383,-30.3364885,-24.606791
65.891784,-30.68471154,-24.69365271
66.092184,-30.72487529,-27.5730232
66.292585,-30.41415028,-28.62585929
66.492986,-30.60962899,-24.94924586
66.693387,-30.48614443,-30.15522514
66.893788,-30.63526242,-32.67921185
67.094188,-30.34416259,-33.29879676
67.294589,-30.65388493,-34.50215607
67.49499,-30.67002071,-34.05618534
67.695391,-30.13732963,-34.85685784
67.895792,-30.32902906,-37.55699213
68.096192,-30.58954417,-37.65724713
68.296593,-30.66533483,-34.04768963
68.496994,-30.52580231,-37.55224258
68.697395,-30.82531795,-42.45830867
68.897796,-30.61775305,-40.5266353
69.098196,-30.75102745,-41.81851748
69.298597,-30.71283978,-40.24726514
69.498998,-30.95073871,-41.78388552
69.699399,-30.95242171,-42.61992631
69.8998,-30.43833865,-48.21087385
70.1002,-30.25048838,-46.66655854
70.300601,-30.86831379,-45.9013239
70.501002,-31.12484028,-47.70809834
70.701403,-30.94078302,-49.56142246
70.901804,-31.24301995,-49.02203743
71.102204,-31.60737272,-51.68269209
71.302605,-31.59614051,-47.8950471
71.503006,-31.44764837,-55.03707366
71.703407,-31.57633042,-51.77704727
71.903808,-31.6889989,-57.15939091
72.104208,-32.13615352,-56.09500226
72.304609,-31.92535993,-53.6743109
72.50501,-31.94606914,-53.31205169
72.705411,-32.03693724,-57.44114232
72.905812,-32.87327757,-53.39391844
73.106212,-32.86730827,-59.31081535
73.306613,-33.12237845,-60.00291567
73.507014,-32.80968352,-58.51963776
73.707415,-32.80120364,-61.26289509
73.907816,-33.90181596,-59.92016856
74.108216,-33.24266998,-57.71247352
74.308617,-33.10810265,-58.32029337
74.509018,-34.12180097,-57.23334199
74.709419,-33.75410458,-57.64442165
74.90982,-34.07325894,-56.69882004
75.11022,-34.0849626,-59.61244002
75.310621,-34.23739583,-56.21061374
75.511022,-33.83415304,-61.38924319
75.711423,-34.89220723,-61.214918
75.911824,-34.15610902,-59.04709259
76.112224,-34.67328569,-60.93838503
76.312625,-34.2536907,-62.62144853
76.513026,-35.71251873,-54.57091269
76.713427,-34.50798703,-56.17445434
76.913828,-34.89595844,-56.03340106
77.114228,-34.72897087,-52.59859341
77.314629,-35.2651772,-58.44336068
77.51503,-34.61836355,-51.20522404
77.715431,-35.06310105,-55.49143397
77.915832,-34.7563209,-49.59501091
78.116232,-34.13916445,-50.11063065
78.316633,-34.88927547,-50.72262758
78.517034,-33.77978155,-51.31168875
78.717435,-34.64897565,-53.60546505
78.917836,-34.25742275,-52.38929234
79.118236,-34.84793637,-47.7264737
79.318637,-33.7037599,-48.83442998
79.519038,-34.19194251,-49.60158213
79.719439,-32.91666489,-51.46573448
79.91984,-33.28120141,-56.34009304
80.12024,-33.22634156,-51.80574449
80.320641,-33.12240538,-54.21298583
80.521042,-33.16930075,-55.12929635
80.721443,-33.18010458,-57.84431198
80.921844,-33.16889091,-58.76570759
81.122244,-32.36463567,-60.07769874
81.322645,-32.10013884,-60.67377424
81.523046,-31.77189624,-63.11101625
81.723447,-32.15797233,-61.17365089
81.923848,-31.83943215,-65.05398554
82.124248,-31.24471542,-66.50903169
82.324649,-31.38917786,-67.2059067
82.52505,-31.4580265,-69.65817003
82.725451,-31.55597223,-72.45251922
82.925852,-30.85528095,-76.19981576
83.126253,-30.84537724,-77.8904865
83.326653,-30.73362179,-81.71367589
83.527054,-30.62998974,-81.16641159
83.727455,-30.5430332,-88.07685193
83.927856,-30.04976954,-89.48268965
84.128257,-30.4391241,-91.55975538
84.328657,-30.3898806,-95.75812894
84.529058,-29.93304,-98.80694883
84.729459,-29.97451906,-101.597197
84.92986,-29.72116403,-106.6651089
85.130261,-29.53811764,-109.1271176
85.330661,-29.54491034,-107.5003053
85.531062,-29.28443532,-114.7208547
85.731463,-29.4237638,-116.8088441
85.931864,-29.45109883,-119.2540632
86.132265,-28.84494575,-123.706898
86.332665,-29.03249112,-126.7972442
86.533066,-29.3436092,-130.3270553
86.733467,-29.03391797,-131.5584701
86.933868,-28.50832201,-133.4332419
87.134269,-28.62451903,-139.9698466
87.334669,-28.25353203,-142.177047
87.53507,-28.02670362,-145.6948041
87.735471,-28.19569967,-148.0714908
87.935872,-27.88002371,-150.755923
88.136273,-27.76622742,-152.6194278
88.336673,-27.48933665,-157.4794938
88.537074,-26.95637186,-160.5749217
88.737475,-26.55012102,-160.7389127
88.937876,-26.2662738,-165.9271635
89.138277,-26.07367864,-166.9412597
89.338677,-25.82967899,-172.9321391
89.539078,-25.47105884,-174.1328507
89.739479,-25.17917152,-178.4159086
89.93988,-24.8799515,177.6084698
90.140281,-24.59870395,172.7839869
90.340681,-24.13051062,169.291948
90.541082,-23.8362852,164.8958303
90.741483,-23.76986788,160.5730318
90.941884,-23.56290122,158.1656356
91.142285,-23.37233765,154.1434295
91.342685,-22.99526038,148.1170703
91.543086,-22.96909779,145.3366952
91.743487,-22.76102247,142.6075127
91.943888,-22.59135099,138.3361271
92.144289,-22.64579268,135.4531749
92.344689,-22.54655345,131.1910883
92.54509,-22.43499267,128.6714539
92.745491,-22.32667736,126.1252781
92.945892,-22.24307591,122.3626608
93.146293,-22.13789682,118.8984553
93.346693,-22.00335032,117.4210576
93.547094,-21.92940264,114.5313162
93.747495,-21.99150049,111.5637631
93.947896,-21.89831152,109.6135013
94.148297,-21.77000479,106.934112
94.348697,-21.6394862,103.1776469
94.549098,-21.83254197,101.9332079
94.749499,-21.67859165,99.98344019
94.9499,-21.43266297,96.61207488
95.150301,-21.48549175,96.25936703
95.350701,-21.413155,92.70618813
95.551102,-21.38808934,91.62340999
95.751503,-21.33772141,89.37022038
95.951904,-21.20821426,87.48984095
96.152305,-21.09023922,85.14136833
96.352705,-21.07355518,84.0225621
96.553106,-21.00867033,81.67606504
96.753507,-20.87867243,80.24649266
96.953908,-20.9025908,78.6830908
97.154309,-20.88148189,77.19935192
97.354709,-20.70208275,75.46861434
97.55511,-20.80918037,73.99051164
97.755511,-20.66006322,72.39194852
97.955912,-20.66685717,70.5151295
98.156313,-20.63555071,69.11160293
98.356713,-20.52222912,67.62148693
98.557114,-20.53411275,66.0734475
98.757515,-20.38034343,64.81950086
98.957916,-20.37226535,62.75721814
99.158317,-20.46087181,62.12931469
99.358717,-20.33045868,61.64391535
99.559118,-20.21430556,59.17242536
99.759519,-20.22647866,58.27218627
99.95992,-20.26291427,56.85273671
100.160321,-20.26926284,55.62563281
100.360721,-20.21921127,54.3279777
100.561122,-19.9859214,53.86972146
100.761523,-19.95715143,51.99466638
100.961924,-19.97374879,51.41149262
101.162325,-19.88197321,49.9610801
101.362725,-19.88558325,49.07683288
101.563126,-19.7624172,48.33183463
101.763527,-19.8158284,44.71728107
101.963928,-19.72173549,45.09258072
102.164329,-19.76135408,45.2336472
102.364729,-19.8466944,44.01219964
102.56513,-19.80891001,41.74632577
102.765531,-19.54023049,42.31462202
102.965932,-19.57584538,40.98099678
103.166333,-19.69337688,39.33576379
103.366733,-19.59158207,39.15300546
103.567134,-19.57112146,37.83483546
103.767535,-19.47140992,36.43257008
103.967936,-19.32796493,35.3117125
104.168337,-19.39436093,34.24710511
104.368737,-19.28305313,32.74247811
104.569138,-19.31873875,33.9969694
104.769539,-19.21258318,32.72041253
104.96994,-19.39913886,31.2797484
105.170341,-19.22625709,29.62800689
105.370741,-19.2924808,28.46857807
105.571142,-19.25336828,27.99193548
105.771543,-19.01443994,28.24521602
105.971944,-19.12287156,27.58660301
106.172345,-19.19712796,26.50854725
106.372745,-19.08036397,25.48970462
106.573146,-19.18312836,23.56753833
106.773547,-19.20549553,23.72515116
106.973948,-19.04404638,22.57702965
107.174349,-18.99530048,21.11963397
107.374749,-19.06339779,21.41512953
107.57515,-18.91915225,20.58393098
107.775551,-18.94052635,19.69804669
107.975952,-18.86713922,17.71117911
108.176353,-19.08395897,17.36710886
108.376754,-18.75689527,17.31909931
108.577154,-18.90198965,16.43604097
108.777555,-18.81343445,16.20251484
108.977956,-18.71311865,15.12515963
109.178357,-18.64918776,13.672734
109.378758,-18.98495291,13.52004088
109.579158,-18.7763069,12.74309302
109.779559,-18.72737991,11.71612733
109.97996,-18.80596307,11.71639637
110.180361,-18.71258889,10.3462217
110.380762,-18.61467616,9.938858089
110.581162,-18.71208068,9.96275673
110.781563,-18.57883775,9.227544127
110.981964,-18.62805534,8.091161101
111.182365,-18.54806275,7.535547744
111.382766,-18.69646525,7.120770922
111.583166,-18.51122544,6.119716239
111.783567,-18.64131461,5.48995127
111.983968,-18.59069499,4.130481715
112.184369,-18.4597495,4.204680261
112.38477,-18.62871721,3.942942379
112.58517,-18.54633528,2.998855808
112.785571,-18.50994928,0.822664017
112.985972,-18.36417394,1.870491098
113.186373,-18.50734596,0.124813433
113.386774,-18.494223,0.7989341
113.587174,-18.52750891,-0.394690172
113.787575,-18.38956487,-0.565156802
113.987976,-18.46247222,-1.887046881
114.188377,-18.46153435,-2.374712454
114.388778,-18.47213639,-2.31591556
114.589178,-18.404449,-3.958029405
114.789579,-18.450075,-3.132632652
114.98998,-18.44047119,-4.778506656
115.190381,-18.38477221,-4.587302363
115.390782,-18.43195621,-4.964253773
115.591182,-18.32853918,-5.984881793
115.791583,-18.29633704,-7.037660873
115.991984,-18.24117395,-6.776845732
116.192385,-18.32009402,-8.30251635
116.392786,-18.27216854,-8.178856533
116.593186,-18.36710243,-9.064390325
116.793587,-18.21250794,-8.98514489
116.993988,-18.29248514,-10.51981609
117.194389,-18.28460306,-10.91588807
117.39479,-18.25137855,-10.78932566
117.59519,-18.39061286,-12.01351876
117.795591,-18.21122423,-11.72809376
117.995992,-18.3423358,-12.80737903
118.196393,-18.18010468,-13.59487243
118.396794,-18.31309233,-13.27906594
118.597194,-18.16631534,-14.45963661
118.797595,-18.24138119,-14.76075128
118.997996,-18.24463224,-16.16342506
119.198397,-18.13505395,-16.25845231
119.398798,-18.06728952,-15.96079199
119.599198,-18.1615581,-17.70222883
119.799599,-18.22493083,-17.1186225
120,-18.19809945,-18.08253506
